nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche en Polvo Entera;Klim;360.0;9090;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Klim;780.0;21800;Éxito;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Klim;845.0;19350;Éxito;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Semidescremada;Svelty;672.0;22400;Éxito;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Proleche;380.0;8100;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Colanta;1000.0;17850;Éxito;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Descremada;Colanta;400.0;8730;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche Condensada;Colombina;100.0;1770;Éxito;g;Leche;Alimentos Frescos;Bajo
Leche Condensada;Colombina;400.0;6000;Éxito;g;Leche;Alimentos Frescos;Medio
Leche Condensada;Parmalat;300.0;5150;Éxito;g;Leche;Alimentos Frescos;Medio
Leche Condensada;La Lechera;300.0;5700;Éxito;g;Leche;Alimentos Frescos;Medio
Leche Condensada;La Lechera;395.0;7969;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche Condensada;La Lechera;100.0;2150;Éxito;g;Leche;Alimentos Frescos;Bajo
Leche Condensada;Parmalat;400.0;6410;Éxito;g;Leche;Alimentos Frescos;Medio
Leche Condensada;Éxito;300.0;4850;Éxito;g;Leche;Alimentos Frescos;Medio
Leche Condensada;Parmalat;180.0;3410;Éxito;g;Leche;Alimentos Frescos;Bajo
Leche Condensada;Colombina;800.0;13900;Éxito;g;Leche;Alimentos Frescos;Alto
Leche Condensada;La Lechera;420.0;9990;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;Alpina;200.0;3770;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Almendras sin Azúcar;Silk;946.0;13200;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Almendras;Isola Bio;1000.0;22500;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Almendras con Sabor a Vainilla;Silk;946.0;13100;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Almendras con Sabor Natural;Hatsu;1000.0;10790;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras sin Azúcar;Hatsu;1000.0;10790;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor a Vainilla;Hatsu;1000.0;10900;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;Silk;5680.0;78300;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Coco;Ancla & Viento;250.0;2300;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Coco;Hatsu;1000.0;10750;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Coco;Badia;400.0;9420;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Coco;Best Choice;400.0;12100;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
