nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Salsa Bearnesa;Casino;250.0;5990;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa Sriracha;Amazon;355.0;10720;Éxito;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa de Ciruelas Pasas;La Constancia;200.0;4280;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Ciruelas Pasas;Éxito;200.0;3640;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Ciruelas Pasas;Aderezos;280.0;5130;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Agridulce;La Constancia;222.0;3518;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Agridulce;Lee Kum Kee;240.0;15300;Éxito;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa Búfalo;Amazon;355.0;9570;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Caramelo;Casino;190.0;5930;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Aceitunas;Casino;90.0;7990;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Ostras;Lee Kum Kee;255.0;13800;Éxito;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa de Berenjena;Casino;190.0;10170;Éxito;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa Provenzal;Casino;420.0;9240;Éxito;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Bassi;400.0;2000;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Queso Cheddar;Camote;200.0;3100;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa BBQ;Bassi;200.0;2450;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa BBQ;Bassi;180.0;1800;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Soya;Bassi;165.0;1250;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa para Carnes;Bassi;175.0;1800;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Rosada;Bassi;200.0;1200;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Boloñesa;Minotto;480.0;5100;Ara;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Napolitana;Minotto;480.0;5100;Ara;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Negra;Bassi;165.0;1250;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Inglesa;Bassi;165.0;1800;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Ajo;Bassi;165.0;1850;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Ají;Bassi;165.0;1250;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Curry;Bassi;170.0;1850;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Teriyaki;Bassi;180.0;1850;Ara;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Tomate;Doria;200.0;2990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Tomate;San Jorge;200.0;3090;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Tomate;Heinz;397.0;7590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Doria;200.0;3090;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Tomate;Doria;200.0;3090;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Tomate Dietética;Fruco;180.0;5790;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Fruco;600.0;7990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Fruco;400.0;5990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Heinz;397.0;7590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate Dietética;La Constancia;200.0;3390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa BBQ;San Jorge;200.0;3590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa BBQ;La Constancia;200.0;3590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa BBQ;La Constancia;200.0;3690;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa BBQ;La Constancia;400.0;5590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa BBQ;Fruco;257.0;5990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa BBQ;Aderezos;1100.0;11390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa BBQ;San Jorge;400.0;5990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Soya;Sakura;540.0;6293;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Soya;Sakura;1080.0;9793;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Soya;Fruco;166.0;4290;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Soya;Sakurahana;350.0;7390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Soya;Chang & Chang;1000.0;10390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa de Soya;Chang & Chang;180.0;5190;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Soya;Aderezos;1100.0;7390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa para Carnes;Fruco;235.0;6390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa para Carnes;Fruco;144.0;4290;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Rosada;La Constancia;1000.0;9742;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa Rosada;La Constancia;200.0;3067;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Rosada;Fruco;180.0;5390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Tártara;La Constancia;200.0;3517;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Tártara;La Constancia;380.0;6742;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa Pesto a la Genovese;Pasticheli;350.0;19990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa Napolitana;Monticello;400.0;8792;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa para Pasta;Barilla;400.0;8590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa Pesto a la Genovese;Barilla;190.0;10990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa para Pasta;La Constancia;200.0;4290;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa para Pasta de Requesón;Barilla;400.0;12590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa de Ají Picante;Amazon;167.0;5692;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Ají Picante;Amazon;98.0;5092;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Ají Picante;Azteca;220.0;5990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Ají Picante;La Constancia;100.0;2790;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Inglesa;Lea & Perrins;148.0;25990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa de Ají;La Constancia;320.0;6590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Ají;Fruco;157.0;4490;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Ají;San Jorge;60.0;1950;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Curry;Colmans;175.0;3290;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Dulce de Piña;Aderezos;280.0;4290;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Dulce de Piña;La Constancia;200.0;4900;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Teriyaki;Sakurahana;350.0;10990;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa Antipasto;Aderezos;250.0;7390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa Antipasto;Aderezos;500.0;12590;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Alto
Salsa China;Fruco;170.0;4390;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Pescado;Squid Brand;300.0;7790;Jumbo;ml;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Ciruelas Pasas;La Constancia;200.0;5190;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Búfalo;Amazon;355.0;5992;Jumbo;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Tomate;Zev;500.0;3890;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Tomate;Fruco;700.0;7892;D1;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Salsa de Queso Cheddar;Crachos;200.0;3190;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa BBQ;Mash;550.0;4990;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa de Soya;Zev;190.0;1190;D1;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa para Carnes;Zev;195.0;1590;D1;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Rosada;Zev;200.0;1290;D1;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa Boloñesa;Deliziare;400.0;4690;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Napolitana;Deliziare;400.0;3890;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Pesto a la Genovese;Collegrande;190.0;4990;D1;g;Salsa;Alimentos Secos y Enlatados;Medio
Salsa Negra;Zev;190.0;1590;D1;g;Salsa;Alimentos Secos y Enlatados;Bajo
Salsa de Ají Picante;Crachos;220.0;5990;D1;g;Salsa;Alimentos Secos y Enlatados;Medio-Alto
Sal Marina;Refisal;465.0;3810;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio
Sal Marina;Refisal;110.0;1150;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Marina;Refisal;800.0;3820;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio
Sal Común con Pimentón;Refisal;70.0;5180;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio
Sal Parrillera;Refisal;454.0;5880;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Marina;Porter;135.0;2370;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;1000.0;1540;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal del Himalaya;Refisal;110.0;9490;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal del Himalaya;Refisal;400.0;14300;Éxito;g;Sal;Alimentos Secos y Enlatados;Alto
Sal Común Reducida en Sodio;Refisal;120.0;3640;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio
Sal Común Reducida en Sodio;Refisal;500.0;6920;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común Reducida en Sodio;Refisal;500.0;6390;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común;Refisal;130.0;800;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;750.0;2520;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;500.0;2480;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común Reducida en Sodio con Ajo;Refisal;70.0;5570;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común Reducida en Sodio con Hierbas;Refisal;70.0;5570;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común Reducida en Sodio con Pimienta;Refisal;90.0;5570;Éxito;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común con Limón;Refisal;30.0;2020;Éxito;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Marina;Refisal;800.0;2400;Ara;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;1000.0;1000;Ara;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;130.0;750;Ara;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Marina;Refisal;800.0;3290;Jumbo;g;Sal;Alimentos Secos y Enlatados;Medio
Sal del Himalaya;Refisal;110.0;8790;Jumbo;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Parrillera;Refisal;454.0;4990;Jumbo;g;Sal;Alimentos Secos y Enlatados;Medio
Sal del Himalaya;Refisal;400.0;16990;Jumbo;g;Sal;Alimentos Secos y Enlatados;Alto
Sal Marina;Refisal;110.0;1150;Jumbo;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;500.0;2590;Jumbo;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común Reducida en Sodio;Refisal;120.0;3590;Jumbo;g;Sal;Alimentos Secos y Enlatados;Medio
Sal Común Reducida en Sodio;Refisal;500.0;6590;Jumbo;g;Sal;Alimentos Secos y Enlatados;Medio-Alto
Sal Común;Refisal;1000.0;1490;Jumbo;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;130.0;890;Jumbo;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Marina;Refisal;465.0;2890;Jumbo;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;500.0;500;D1;g;Sal;Alimentos Secos y Enlatados;Bajo
Sal Común;Refisal;1000.0;1790;D1;g;Sal;Alimentos Secos y Enlatados;Bajo
Cristales de Sal;Refisal;500.0;8430;Éxito;g;Cristales;Otros Artículos de Cocina y Hogar;Medio-Alto
Cristales de Sal;Refisal;370.0;14210;Éxito;g;Cristales;Otros Artículos de Cocina y Hogar;Medio-Alto
Cristales de Sal;Refisal;500.0;8590;Jumbo;g;Cristales;Otros Artículos de Cocina y Hogar;Medio-Alto
Harina de Trigo con Polvo para Hornear;haz de oros;1000.0;4410;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Trigo;haz de oros;2500.0;7530;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio-Alto
Harina de Trigo;haz de oros;500.0;1700;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Trigo;haz de oros;1000.0;3780;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Doñarepa;1000.0;3310;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Promasa;1000.0;3300;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Doñarepa;500.0;1860;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Blanca;Doñarepa;1000.0;3250;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Ekono;500.0;1580;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;Pan;500.0;1700;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Integral;Pan;500.0;1840;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;Pan;1000.0;3400;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Pan;1000.0;3190;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Doñarepa;1000.0;3250;Éxito;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Doñarepa;500.0;2050;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Blanca;Pan;500.0;1700;Éxito;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Trigo;La Oz;500.0;900;Ara;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Blanca;Pan;1000.0;2900;Ara;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Blanca;La Oz;1000.0;3800;Ara;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;La Oz;500.0;1200;Ara;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;La Oz;500.0;1350;Ara;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;La Oz;1000.0;3600;Ara;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Trigo;haz de oros;500.0;1790;Jumbo;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Trigo con Polvo para Hornear;haz de oros;1000.0;4590;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Trigo;haz de oros;1000.0;3490;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Trigo;haz de oros;2500.0;8190;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio-Alto
Harina de Maíz Blanca;Pan;500.0;1750;Jumbo;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;Doñarepa;1000.0;3290;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Pan;1000.0;3190;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Pan;1000.0;3290;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;Doñarepa;1000.0;3190;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Doñarepa;1000.0;3190;Jumbo;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Trigo;Paspán;500.0;1250;D1;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Trigo;Quicksy;500.0;1050;D1;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Blanca;Quicksy;1000.0;3490;D1;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;Pan;1000.0;3390;D1;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Amarilla;La Soberana;1000.0;2490;D1;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;Pan;1000.0;3390;D1;g;Harina;Alimentos Secos y Enlatados;Medio
Harina de Maíz Blanca;La Soberana;1000.0;2490;D1;g;Harina;Alimentos Secos y Enlatados;Bajo
Harina de Maíz Amarilla;Quicksy;1000.0;3490;D1;g;Harina;Alimentos Secos y Enlatados;Medio
Chocolate Esparcible;Chocoramo;350.0;13600;Éxito;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Nutella;350.0;17600;Éxito;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Nutella;750.0;39400;Éxito;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Jet;350.0;10850;Éxito;g;Chocolate;Snacks y Golosinas;Alto
Chocolate en Pasta con Azúcar, Clavos y Canela;Éxito;500.0;4780;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar, Clavos y Canela;Ekono;500.0;5010;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Ekono;250.0;2250;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Azúcar;Corona;500.0;5500;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar, Clavos y Canela;Corona;500.0;6040;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;Corona;250.0;3140;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Azúcar;Ekono;500.0;4960;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Éxito;250.0;2990;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Azúcar;Éxito;500.0;4740;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Corona;230.0;6160;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;Corona;100.0;3250;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta sin Azúcar con Clavos y Canela;Luker;125.0;3250;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Sucralosa;Luker;125.0;4200;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta sin Azúcar;Luker;250.0;6450;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta sin Azúcar;Cruz;125.0;2830;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta sin Azúcar;Luker;125.0;3000;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta sin Azúcar;Cruz;250.0;6640;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta sin Azúcar con Clavos y Canela;Luker;250.0;6250;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Sucralosa con Clavos y Canela;Chocolyne;156.0;4998;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Sucralosa;Chocolyne;156.0;5321;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta sin Azúcar con Clavos y Canela;Tesalia;125.0;3070;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta sin Azúcar;Taeq;125.0;5450;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Sucralosa;Luker;125.0;4200;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta sin Azúcar con Clavos y Canela;Tesalia;250.0;5960;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo con Clavos y Canela;Choco Express;200.0;4290;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo con Azúcar;Choco Express;200.0;3790;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo sin Azúcar;Choco Express;200.0;5650;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo con Sucralosa;Chocolyne;200.0;6043;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo con Sucralosa;Luker;200.0;6650;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo;Corona;200.0;3145;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Polvo;Corona;200.0;3390;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Polvo;Corona;500.0;7830;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo sin Azúcar;Luker;200.0;5980;Éxito;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo;Luker;250.0;4200;Éxito;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo sin Azúcar con Clavos y Canela;Chocolyne;120.0;3570;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Polvo sin Azúcar;Chocolyne;120.0;3306;Éxito;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate Esparcible;Nuss Milk;350.0;8000;Ara;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;la especial;500.0;4650;Ara;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Danusia;500.0;3950;Ara;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo sin Azúcar;Cocuy;120.0;2500;Ara;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Polvo sin Azúcar con Clavos y Canela;Cocuy;120.0;2500;Ara;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Polvo sin Azúcar;Cocuy;120.0;2500;Ara;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate Esparcible;Nutella;750.0;32990;Jumbo;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Nutella;350.0;15990;Jumbo;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Chocoramo;350.0;13390;Jumbo;g;Chocolate;Snacks y Golosinas;Alto
Chocolate Esparcible;Jet;350.0;9990;Jumbo;g;Chocolate;Snacks y Golosinas;Alto
Chocolate en Pasta con Azúcar, Clavos y Canela;Corona;500.0;5590;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;Corona;250.0;3290;Jumbo;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Azúcar;Corona;230.0;4790;Jumbo;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Corona;500.0;5590;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Sucralosa;Chocolyne;156.0;6190;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Sucralosa;Luker;125.0;4390;Jumbo;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Sucralosa;Luker;125.0;4490;Jumbo;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta sin Azúcar;Luker;250.0;6390;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta sin Azúcar con Clavos y Canela;Luker;250.0;6390;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo con Clavos y Canela;Choco Express;200.0;4690;Jumbo;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo con Sucralosa;Luker;200.0;6790;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Polvo sin Azúcar;Choco Express;200.0;5190;Jumbo;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Polvo con Sucralosa;Chocolyne;200.0;6790;Jumbo;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate Esparcible;Nuzart;350.0;7990;D1;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate Esparcible Común y Blanco;Nuzart;350.0;6990;D1;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;Casa Real;230.0;3750;D1;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar, Clavos y Canela;De la Taza;250.0;4290;D1;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar;Corona;230.0;4350;D1;g;Chocolate;Snacks y Golosinas;Medio
Chocolate en Pasta con Azúcar, Clavos y Canela;Casa Real;125.0;2150;D1;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta con Azúcar;De la Taza;500.0;6490;D1;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta con Azúcar;Sol;320.0;8490;D1;g;Chocolate;Snacks y Golosinas;Medio-Alto
Chocolate en Pasta sin Azúcar con Clavos y Canela;Casa Real;125.0;2150;D1;g;Chocolate;Snacks y Golosinas;Bajo
Chocolate en Pasta;Casa Real;125.0;2150;D1;g;Chocolate;Snacks y Golosinas;Bajo
