,nombre,marca,presentacion,precio,lugar
2050,Arepas Blancas Extradelgadas,Sary, 600 g,3 700 $,Éxito
2051,Arepas con Queso,Doña Lucha, 300 g,5 350 $,Éxito
2052,Arepas Blancas,Sary, 900 g,4 800 $,Éxito
2053,Arepas Blancas Pequeñas,Sary, 600 g,4 750 $,Éxito
2054,Arepas Blancas Extradelgadas,Sary, 360 g,5 460 $,Éxito
2055,Arepas con Queso,Sary, 400 g,7 700 $,Éxito
2056,Arepas con Queso Rellenas con Queso,Sary, 380 g,7 820 $,Éxito
2057,Arepas con Queso Extradelgadas,Sary, 360 g,9 270 $,Éxito
2058,Arepas con Queso,Sary, 400 g,8 530 $,Éxito
2059,Arepas Blancas,Sary, 450 g,2 960 $,Éxito
2060,Arepas con Queso Extradelgadas,Doña Paisa, 500 g,6 830 $,Éxito
2061,Bistec de Res,del Éxito, 1 kg,13 980 $,Éxito
2062,Bistec de Res,del Éxito, 1 kg,20 300 $,Éxito
2063,Carne de Res para Asar o Freir,del Éxito, 1.5 kg,23 535 $,Éxito
2064,Carne de Res para Asar o Freir,del Éxito, 1 kg,15 830 $,Éxito
2065,Carne de Res para Asar o Freir,del Éxito, 1 kg,15 800 $,Éxito
2066,Carne de Res para Desmechar,del Éxito, 1 kg,13 980 $,Éxito
2067,Carne de Res para Sudar,del Éxito, 1 kg,13 980 $,Éxito
2068,Carne de Res para Sancocho,del Éxito, 1 kg,14 010 $,Éxito
2069,Chata de Res,del Éxito, 1.5 kg,42 150 $,Éxito
2070,Carne de Res,del Éxito, 1.5 kg,20 900 $,Éxito
2071,Carne de Res,del Éxito, 1 kg,22 950 $,Éxito
2072,Carne de Res,del Éxito, 1 kg,19 500 $,Éxito
2073,Huevo de Aldana,del Éxito, 1 kg,20 200 $,Éxito
2074,Carne de Res,del Éxito, 1.5 kg,15 480 $,Éxito
2075,Carne de Res,del Éxito, 1 kg,16 060 $,Éxito
2076,Carne de Res Molida,del Éxito, 0.95 kg,8 096 $,Éxito
2077,Carne de Res Molida,del Éxito, 1 kg,14 730 $,Éxito
2078,Carne de Res Molida Baja en Grasa,del Éxito, 1 kg,17 350 $,Éxito
2079,Morrillo de Res,del Éxito, 1 kg,14 730 $,Éxito
2080,Muchacho,del Éxito, 1 kg,19 350 $,Éxito
2081,Pecho de Res,del Éxito, 1 kg,15 950 $,Éxito
2082,Pecho de Res,del Éxito, 1.5 kg,23 055 $,Éxito
2083,Posta de Res,del Éxito, 1 kg,17 650 $,Éxito
2084,Posta de Res,del Éxito, 1.5 kg,25 950 $,Éxito
2085,Punta de Anca,del Éxito, 1 kg,14 132 $,Éxito
2086,Carne de Res,del Éxito, 1 kg,18 750 $,Éxito
2087,Solomito de Res,del Éxito, 1.9 kg,41 250 $,Éxito
2088,Solomo Extranjero,del Éxito, 1 kg,15 780 $,Éxito
2089,Solomo Redondo,del Éxito, 1 kg,21 980 $,Éxito
2090,Tabla de Res,del Éxito, 1 kg,20 200 $,Éxito
2091,Tableado de Res,del Éxito, 1 kg,14 980 $,Éxito
2092,Carne Molida de Res y Cerdo,del Éxito, 1 kg,11 900 $,Éxito
2093,Mantequilla de Maní,Peter Pan, 462 g,18 900 $,Éxito
2094,Mantequilla de Maní,Manitoba, 300 g,10 720 $,Éxito
2095,Mantequilla de Maní,Peter Pan, 462 g,18 600 $,Éxito
2096,Yogur Descremado con Sabor a Melocotón,Colanta,1 000 g,10 170 $,Éxito
2097,Yogur con Estanoles con Sabor a Frutos Rojos,Colanta,1 000 g,15 100 $,Éxito
2098,Yogur con Estanoles,Colanta,1 000 g,15 100 $,Éxito
2099,Yogur Entero con Sabor a Fresa,Colanta, 200 g,1 970 $,Éxito
2100,Yogur Entero con Sabor a Mora,Colanta, 200 g,1 970 $,Éxito
2101,Yogur Semidescremado,Colanta,1 200 g,4 230 $,Éxito
2102,Yogur Semidescremado,Colanta, 600 g,4 000 $,Éxito
2103,Yogur Semidescremado,Activia,1 170 g,9 980 $,Éxito
2104,Yogur Semidescremado,Activia, 140 g,1 540 $,Éxito
2105,Yogur Semidescremado con Sabor a Melocotón,Alpina, 900 g,5 870 $,Éxito
2106,Yogur Semidescremado,Activia, 420 g,4 240 $,Éxito
2107,Yogur Semidescremado,Activia, 420 g,4 240 $,Éxito
2108,Yogur Deslactosado,Alpina,1 000 g,10 610 $,Éxito
2109,Yogur Deslactosado,Alpina, 200 g,2 600 $,Éxito
2110,Yogur Entero con Sabor a Fresa,Éxito,1 040 g,3 650 $,Éxito
2111,Yogur con Fibra,Colanta, 800 g,7 400 $,Éxito
2112,Yogur Descremado con Sabor a Mora,Colanta, 200 g,2 250 $,Éxito
2113,Yogur Entero,Colanta, 200 g,1 970 $,Éxito
2114,Yogur Semidescremado con Sabor a Melocotón,Alpina, 200 g,2 270 $,Éxito
2115,Yogur Entero con Sabor a Melocotón,Colanta, 200 g,2 090 $,Éxito
2116,Yogur Entero con Sabor a Mora,Colanta,1 000 g,6 440 $,Éxito
2117,Yogur,Alpina, 113 g,1 880 $,Éxito
2118,Yogur Semidescremado,Pasco,1 750 g,19 849 $,Éxito
2119,Yogur,Alquería, 840 g,7 104 $,Éxito
2120,Yogur con Estanoles,Colanta, 800 g,13 600 $,Éxito
2121,Yogur Semidescremado,Activia,1 750 g,16 000 $,Éxito
2122,Yogur con Sabor a Melocotón,Alpina,1 000 g,9 430 $,Éxito
2123,Yogur Semidescremado con Sabor a Fresa,Taeq,1 000 g,8 730 $,Éxito
2124,Yogur Semidescremado con Sabor a Fresa,Taeq, 150 g,1 600 $,Éxito
2125,Yogur Semidescremado con Sabor a Mora,Taeq,1 000 g,8 730 $,Éxito
2126,Yogur,Tapioka,1 750 g,15 050 $,Éxito
2127,Yogur Semidescremado,Pasco, 150 g,2 600 $,Éxito
2128,Yogur Entero,Colanta,1 200 g,4 190 $,Éxito
2129,Yogur Descremado con Sabor a Fresa,Colanta,1 040 g,10 740 $,Éxito
2130,Yogur Descremado con Sabor a Mora,Colanta,1 040 g,7 490 $,Éxito
2131,Yogur con Sabor a Fresa,Alquería, 150 g,1 600 $,Éxito
2132,Yogur,Alpina, 750 g,7 450 $,Éxito
2133,Yogur Deslactosado,Alpina,1 000 g,5 890 $,Éxito
2134,Yogur Semidescremado con Sabor a Melocotón,Alpina,1 750 g,14 900 $,Éxito
2135,Yogur Entero con Sabor a Melocotón,Colanta,1 000 g,5 990 $,Éxito
2136,Yogur Semidescremado con Sabor a Mora,Alpina, 200 g,2 270 $,Éxito
2137,Yogur con Sabor a Fresa,Alpina,1 000 g,9 430 $,Éxito
2138,Yogur Semidescremado con Sabor a Fresa,Alpina, 200 g,2 270 $,Éxito
2139,Yogur Semidescremado con Sabor a Mora,Alpina,1 750 g,14 900 $,Éxito
2140,Yogur Semidescremado con Sabor a Fresa,Alpina,1 750 g,14 900 $,Éxito
2141,Yogur Entero,Colanta, 150 g,2 850 $,Éxito
2142,Panecillo Integral,Bimbo, 290 g,4 190 $,Éxito
2143,Pan Artesanal,Bimbo, 390 g,4 200 $,Éxito
2144,Pan Artesanal Tajado con Mantequilla,Bimbo, 500 g,4 940 $,Éxito
2145,Pan de Maíz,del Éxito, 460 g,172 000 $,Éxito
2146,Pan Integral Tajado,Bimbo, 500 g,5 450 $,Éxito
2147,Pan Artesanal Tajado,Bimbo, 500 g,4 490 $,Éxito
2148,Pan Integral Tajado con Nueces y Pasas,Mamá Inés, 500 g,5 380 $,Éxito
2149,Pan Integral Tajado con Nueces y Pasas,Bimbo, 500 g,5 450 $,Éxito
2150,Pan Integral Tajado,Mamá Inés, 440 g,3 820 $,Éxito
2151,Pan Integral Tajado,Bimbo, 460 g,5 390 $,Éxito
2152,Pan Integral Tajado,Perman, 480 g,3 640 $,Éxito
2153,Pan Integral Tajado,Éxito, 500 g,4 650 $,Éxito
2154,Pan Integral Tajado,Bimbo, 650 g,5 720 $,Éxito
2155,Pan Integral Tajado con Nueces y Arándanos Deshidratados,Bimbo, 500 g,5 450 $,Éxito
2156,Pan Integral Tajado con Semillas,Bimbo, 500 g,5 450 $,Éxito
2157,Pan Artesanal Tajado,Éxito, 500 g,3 960 $,Éxito
2158,Maíz Dulce en Lata,Le Select, 432 g,4 990 $,Éxito
2159,Maíz Dulce en Lata,Le Select, 822 g,9 900 $,Éxito
2160,Maíz Dulce en Lata,Éxito, 425 g,4 370 $,Éxito
2161,Maíz Dulce en Lata,San Jorge, 300 g,5 440 $,Éxito
2162,Maíz Dulce en Lata,San Jorge, 600 g,9 100 $,Éxito
2163,Maíz Dulce en Lata,Le Select, 248 g,3 190 $,Éxito
2164,Maíz Dulce en Lata,Zenú, 248 g,3 200 $,Éxito
2165,Maíz Dulce en Lata,Zenú, 432 g,5 100 $,Éxito
2166,Aguardiente,Aguardiente Antioqueño, 750 ml,36 800 $,Éxito
2167,Aguardiente,Aguardiente Antioqueño,1 050 ml,47 400 $,Éxito
2168,Aguardiente sin Azúcar,Aguardiente Antioqueño, 750 ml,37 700 $,Éxito
2169,Aguardiente sin Azúcar,Aguardiente Antioqueño,1 050 ml,51 300 $,Éxito
2170,Aguardiente sin Azúcar,Aguardiente Antioqueño, 375 ml,20 600 $,Éxito
2171,Aguardiente,Aguardiente Antioqueño, 375 ml,20 200 $,Éxito
2172,Aguardiente,Aguardiente Antioqueño,1 000 ml,46 300 $,Éxito
2173,Aguardiente,Aguardiente Antioqueño,2 000 ml,89 200 $,Éxito
2174,Aguardiente sin Azúcar,Aguardiente Antioqueño, 750 ml,57 100 $,Éxito
2175,Aguardiente sin Azúcar,Aguardiente Antioqueño,2 000 ml,93 000 $,Éxito
2176,Aguardiente sin Azúcar,Aguardiente Antioqueño,1 000 ml,50 300 $,Éxito
2177,Aguardiente sin Azúcar,Aguardiente Antioqueño, 250 ml,11 900 $,Éxito
2178,Aguardiente,Aguardiente Antioqueño, 250 ml,13 100 $,Éxito
2179,Papas Fritas,Yupi, 336 g,7 750 $,Éxito
2180,Papas Fritas,Margarita, 110 g,3 080 $,Éxito
2181,Papas Fritas de Limón,Margarita, 300 g,10 250 $,Éxito
2182,Papas Fritas de Pollo,Margarita, 300 g,9 740 $,Éxito
2183,Papas Fritas Naturales,Margarita, 300 g,9 740 $,Éxito
2184,Papas Fritas de Limón,Margarita, 110 g,3 450 $,Éxito
2185,Papas Fritas Naturales,Margarita, 110 g,3 450 $,Éxito
2186,Papas Fritas de Pollo,Margarita, 110 g,3 170 $,Éxito
2187,Papas Fritas,Margarita, 280 g,9 880 $,Éxito
2188,Papas Fritas de Limón,La Reina, 110 g,2 520 $,Éxito
2189,Papas Fritas,Éxito, 300 g,7 790 $,Éxito
2190,Papas Fritas BBQ,Margarita, 300 g,10 270 $,Éxito
2191,Papas Fritas,Margarita, 280 g,10 910 $,Éxito
2192,Papas Fritas,Margarita, 110 g,3 080 $,Éxito
2193,Papas Fritas Naturales,La Reina, 110 g,2 520 $,Éxito
2194,Papas Fritas Naturales,Éxito, 300 g,7 790 $,Éxito
2195,Papas Fritas de Tomate,Margarita, 320 g,11 200 $,Éxito
2196,Papas Fritas de Tomate,Margarita, 110 g,2 970 $,Éxito
2197,Papas Fritas BBQ,Margarita, 150 g,3 580 $,Éxito
2198,Papas Fritas BBQ,Margarita, 240 g,8 730 $,Éxito
2199,Papas Fritas Naturales,Margarita, 150 g,3 580 $,Éxito
2200,Papas Fritas de Limón,Yupi, 300 g,9 400 $,Éxito
2201,Papas Fritas de Mayonesa,Yupi, 115 g,2 830 $,Éxito
2202,Papas Fritas Naturales,Yupi, 115 g,2 830 $,Éxito
2203,Papas Fritas Naturales,Yupi, 300 g,9 020 $,Éxito
2204,Papas Fritas Naturales,Pringles, 137 g,4 552 $,Éxito
2205,Papas Fritas de Limón,Margarita, 145 g,4 160 $,Éxito
2206,Papas Fritas de Limón,Margarita, 228 g,8 800 $,Éxito
2207,Papas Fritas,Yupi, 300 g,10 510 $,Éxito
2208,Papas Fritas de Limón,Éxito, 100 g,2 650 $,Éxito
2209,Papas Fritas,Éxito, 300 g,7 790 $,Éxito
2210,Papas Fritas de Limón,Mekato, 300 g,8 570 $,Éxito
2211,Papas Fritas BBQ,Pringles, 137 g,5 384 $,Éxito
2212,Papas Fritas,Pringles, 137 g,4 552 $,Éxito
2213,Papas Fritas,Pringles, 169 g,7 008 $,Éxito
2214,Papas Fritas de Crema y Cebolla,Lays, 140 g,5 620 $,Éxito
2215,Papas Fritas,Margarita, 375 g,14 250 $,Éxito
2216,Papas Fritas Naturales,Éxito, 100 g,2 830 $,Éxito
2217,Papas Fritas Naturales,Margarita, 240 g,8 730 $,Éxito
2218,Papas Fritas de Limón,Yupi, 115 g,2 830 $,Éxito
2219,Yogur Griego con Sabor a Melocotón,Pasco, 170 g,5 350 $,Éxito
2220,Yogur Griego con Sabor a Fresa,Zörba, 135 g,2 898 $,Éxito
2221,Yogur Griego con Sabor a Melocotón,Zörba, 135 g,2 898 $,Éxito
2222,Yogur Griego con Sabor a Mora,Zörba, 135 g,2 898 $,Éxito
2223,Yogur Griego con Sabor Natural,Zörba, 135 g,2 898 $,Éxito
2224,Yogur Griego con Sabor a Fresa,Taeq, 150 g,4 880 $,Éxito
2225,Yogur Griego con Sabor a Fresa,Alpina, 150 g,2 810 $,Éxito
2226,Yogur Griego con Sabor a Melocotón,Taeq, 150 g,4 880 $,Éxito
2227,Yogur Griego con Sabor a Mora,Taeq, 150 g,4 880 $,Éxito
2228,Yogur Griego con Sabor a Mora,Alpina, 600 g,12 250 $,Éxito
2229,Yogur Griego con Sabor Natural,Zörba, 500 g,17 200 $,Éxito
2230,Yogur Griego con Sabor a Mora,Alpina, 160 g,3 710 $,Éxito
2231,Yogur Griego con Sabor Natural,Taeq, 150 g,4 880 $,Éxito
2232,Yogur Griego con Sabor Natural,Alpina, 150 g,2 810 $,Éxito
2233,Yogur Griego,Pasco, 400 g,8 630 $,Éxito
2234,Yogur Griego con Sabor a Melocotón,Finesse, 150 g,3 940 $,Éxito
2235,Yogur Griego con Sabor a Coco,El Zarzal, 100 g,2 120 $,Éxito
2236,Yogur Griego con Sabor a Frutos Rojos,El Zarzal, 100 g,2 120 $,Éxito
2237,Yogur Griego con Sabor a Maracuyá,El Zarzal, 100 g,2 120 $,Éxito
2238,Yogur Griego con Sabor a Maracuyá,Alpina, 150 g,2 810 $,Éxito
2239,Yogur Griego con Sabor a Mora,Alpina, 150 g,2 810 $,Éxito
2240,Yogur Griego con Sabor Natural,Alpina, 600 g,14 450 $,Éxito
2241,Mortadelas de Res,Ekono, 225 g,1 890 $,Éxito
2242,Mortadelas,Éxito, 250 g,3 534 $,Éxito
2243,Mortadelas,Carulla, 250 g,2 390 $,Éxito
2244,Mortadelas de Pollo,Zenú, 250 g,4 750 $,Éxito
2245,Mortadelas,Rica, 450 g,4 390 $,Éxito
2246,Mortadelas,Zenú, 250 g,3 890 $,Éxito
2247,Mortadelas,Rica, 250 g,3 210 $,Éxito
2248,Mortadelas de Pollo,Zenú, 450 g,7 320 $,Éxito
2249,Mortadelas,Zenú, 450 g,6 400 $,Éxito
2250,"Chocolate en Pasta con Azúcar, Clavos y Canela",Éxito, 500 g,4 780 $,Éxito
2251,"Chocolate en Pasta con Azúcar, Clavos y Canela",Ekono, 500 g,5 010 $,Éxito
2252,Chocolate en Pasta con Azúcar,Ekono, 250 g,2 250 $,Éxito
2253,Chocolate en Pasta con Azúcar,Corona, 500 g,5 500 $,Éxito
2254,"Chocolate en Pasta con Azúcar, Clavos y Canela",Corona, 500 g,6 040 $,Éxito
2255,Chocolate en Pasta con Azúcar,Corona, 250 g,3 140 $,Éxito
2256,Chocolate en Pasta con Azúcar,Ekono, 500 g,4 960 $,Éxito
2257,Chocolate en Pasta con Azúcar,Éxito, 250 g,2 990 $,Éxito
2258,Chocolate en Pasta con Azúcar,Éxito, 500 g,4 740 $,Éxito
2259,Chocolate en Pasta con Azúcar,Corona, 230 g,6 160 $,Éxito
2260,Chocolate en Pasta con Azúcar,Corona, 100 g,3 250 $,Éxito
2261,Suavizante para Ropa con Aroma Floral,Aromatel,5 000 ml,23 550 $,Éxito
2262,Suavizante para Ropa con Aroma Floral,Aromatel,1 800 ml,9 250 $,Éxito
2263,Suavizante para Ropa con Aroma a Frutos Rojos,Aromatel,5 000 ml,23 250 $,Éxito
2264,Suavizante para Ropa con Aroma a Frutos Rojos,Aromatel,1 800 ml,10 800 $,Éxito
2265,Suavizante para Ropa con Aroma a Manzana,Aromatel,1 800 ml,10 240 $,Éxito
2266,Suavizante para Ropa con Aroma a Manzana,Aromatel,5 000 ml,25 443 $,Éxito
2267,Suavizante para Ropa con Aroma a Manzana,Suavitel,5 800 ml,28 200 $,Éxito
2268,Suavizante para Ropa,Suavitel,2 000 ml,11 720 $,Éxito
2269,Suavizante para Ropa con Aroma Primaveral,Suavitel,1 600 ml,9 790 $,Éxito
2270,Suavizante para Ropa con Aroma Primaveral,Suavitel,1 900 ml,12 360 $,Éxito
2271,Suavizante para Ropa con Aroma Primaveral,Suavitel,2 900 ml,16 200 $,Éxito
2272,Suavizante para Ropa con Aroma a Vainilla,Suavitel,5 800 ml,28 200 $,Éxito
2273,Suavizante para Ropa con Aroma a Vainilla,Suavitel,1 940 ml,11 080 $,Éxito
2274,Suavizante para Ropa con Aroma Floral,Éxito,4 050 ml,16 450 $,Éxito
2275,Suavizante para Ropa con Aroma a Manzana,Suavitel,2 900 ml,16 800 $,Éxito
2276,Suavizante para Ropa con Aroma Floral,Éxito,2 000 ml,9 544 $,Éxito
2277,Suavizante para Ropa con Aroma Primaveral,Suavitel,1 000 ml,4 530 $,Éxito
2278,Suavizante para Ropa sin Enjuague,Éxito, 850 ml,3 700 $,Éxito
2279,Suavizante para Ropa,Suavitel,1 840 ml,12 600 $,Éxito
2280,Suavizante para Ropa,Suavitel,5 800 ml,25 560 $,Éxito
2281,Suavizante para Ropa con Aroma Primaveral,Dersa,2 000 ml,9 140 $,Éxito
2282,Suavizante para Ropa con Aroma a Manzana,Dersa,2 000 ml,7 200 $,Éxito
2283,Suavizante para Ropa con Aroma Floral,Ekono,1 000 ml,4 500 $,Éxito
2284,Suavizante para Ropa con Aroma Primaveral,Ekono,1 000 ml,4 500 $,Éxito
2285,Suavizante para Ropa con Aroma Floral,Éxito,1 000 ml,2 540 $,Éxito
2286,Suavizante para Ropa con Aroma Primaveral,Suavitel,6 000 ml,29 100 $,Éxito
2287,Suavizante para Ropa con Aroma Primaveral,Suavitel,2 000 ml,8 750 $,Éxito
2288,Suavizante para Ropa con Aroma Primaveral,Suavitel,3 000 ml,17 300 $,Éxito
2289,Suavizante para Ropa Ecológico,Top Terra,1 900 ml,10 190 $,Éxito
2290,Suavizante para Ropa,Suavitel,5 800 ml,29 300 $,Éxito
2291,Suavizante para Ropa,Suavitel,2 000 ml,11 690 $,Éxito
2292,Fríjoles Blancos Blanquillos,Éxito,1 000 g,4 890 $,Éxito
2293,Fríjoles Rojos Bola Roja,Éxito,1 000 g,7 490 $,Éxito
2294,Fríjoles Blancos Cabeza Negra,Éxito, 500 g,2 490 $,Éxito
2295,Fríjoles Rojos Caraotas,Éxito,1 000 g,5 490 $,Éxito
2296,Fríjoles Rojos Caraotas,Éxito, 500 g,2 790 $,Éxito
2297,Fríjoles Cargamanto Blancos,Éxito, 500 g,4 544 $,Éxito
2298,Fríjoles Cargamanto Blancos,Aburra,1 000 g,9 950 $,Éxito
2299,Fríjoles Cargamanto Blancos,Éxito,1 000 g,9 900 $,Éxito
2300,Fríjoles Cargamanto Blancos,Ekono, 500 g,3 500 $,Éxito
2301,Fríjoles Cargamanto Rosados,Éxito, 500 g,3 490 $,Éxito
2302,Fríjoles Cargamanto Rosados,Éxito,1 000 g,6 890 $,Éxito
2303,Fríjoles Rojos Nima,Éxito,1 000 g,4 990 $,Éxito
2304,Fríjoles Rojos Nima,Éxito, 500 g,2 490 $,Éxito
2305,Fríjoles Rojos Sabaneros,Éxito,1 000 g,5 590 $,Éxito
2306,Fríjoles Rojos Sabaneros,Éxito, 500 g,2 820 $,Éxito
2307,Fríjoles Verdes,del Éxito, 700 g,6 593 $,Éxito
2308,Fríjoles Rojos Caraotas,Carulla, 500 g,2 600 $,Éxito
2309,Salchichas de Pollo Bajas en Grasa,Pietrán, 350 g,10 965 $,Éxito
2310,Salchichas de Pavo Bajas en Grasa,Pietrán, 350 g,13 100 $,Éxito
2311,Salchichas de Pavo,Taeq, 230 g,8 360 $,Éxito
2312,Salchichas Llaneras,Rica, 500 g,7 490 $,Éxito
2313,Mini Salchichas Ahumadas para Parrilla,Ranchera, 300 g,10 770 $,Éxito
2314,Salchichas de Pavo,Carnelly, 230 g,7 580 $,Éxito
2315,Salchichas Ahumadas para Parrilla,Ranchera, 230 g,6 960 $,Éxito
2316,Salchichas Ahumadas para Parrilla,Ranchera, 480 g,14 000 $,Éxito
2317,Salchichas Ahumadas para Parrilla,Ranchera, 525 g,15 500 $,Éxito
2318,Salchichas Alemanas,Zenú, 360 g,17 500 $,Éxito
2319,Salchichas Tradicionales,Zenú, 225 g,4 260 $,Éxito
2320,Salchichas Tradicionales,Éxito, 450 g,6 640 $,Éxito
2321,Salchichas Tradicionales,Rica, 684 g,9 950 $,Éxito
2322,Salchichas de Res y Cerdo,Montefrío, 430 g,11 128 $,Éxito
2323,Salchichas Tradicionales,Rica, 500 g,5 490 $,Éxito
2324,Salchichas de Res,Ekono, 220 g,3 170 $,Éxito
2325,Salchichas Tradicionales,Zenú, 450 g,8 360 $,Éxito
2326,Jabón Lavaplatos en Crema con Aroma a Limón,Axion, 900 g,8 300 $,Éxito
2327,Jabón Lavaplatos en Crema con Aroma a Limón,Axion, 450 g,4 490 $,Éxito
2328,Jabón Lavaplatos en Crema con Aloe Vera,Éxito, 500 g,4 110 $,Éxito
2329,Jabón Lavaplatos en Crema con Avena y Vitamina E,Éxito, 450 g,2 760 $,Éxito
2330,Jabón Lavaplatos en Crema con Aroma a Limón,Éxito,1 000 g,5 320 $,Éxito
2331,Jabón Lavaplatos en Crema con Aroma a Limón,Éxito, 500 g,3 610 $,Éxito
2332,Jabón Lavaplatos en Crema Antibacterial,Loza Crem, 900 g,9 510 $,Éxito
2333,Jabón Lavaplatos en Crema Antibacterial con Aroma a Limón,Loza Crem, 900 g,7 830 $,Éxito
2334,Jabón Lavaplatos en Crema con Aloe Vera y Vitamina E,Axion,1 350 g,13 250 $,Éxito
2335,Jabón Lavaplatos en Crema con Aroma a Limón,Lava Mil,1 350 g,7 650 $,Éxito
2336,Jabón Lavaplatos en Crema con Aloe Vera y Aroma a Rosas,Loza Crem, 450 g,4 600 $,Éxito
2337,Jabón Lavaplatos en Crema,Loza Crem, 450 g,4 550 $,Éxito
2338,Jabón Lavaplatos en Crema con Aloe Vera y Avena,Loza Crem, 900 g,7 750 $,Éxito
2339,Jabón Lavaplatos en Crema con Aloe Vera y Aroma a Limón,Loza Crem, 450 g,4 600 $,Éxito
2340,Jabón Lavaplatos en Crema Antibacterial con Aroma a Limón,Lava Mil, 450 g,3 720 $,Éxito
2341,Jabón Lavaplatos en Crema,Lava Mil, 450 g,4 160 $,Éxito
2342,Jabón Lavaplatos en Crema,Lava Mil, 800 g,7 100 $,Éxito
2343,Jabón Lavaplatos en Crema con Aloe Vera y Aroma a Rosas,Loza Crem, 900 g,7 830 $,Éxito
2344,Jabón Lavaplatos en Crema con Avena,Axion, 450 g,3 750 $,Éxito
2345,Jabón Lavaplatos en Crema Antibacterial,Axion, 900 g,8 190 $,Éxito
2346,Jabón Lavaplatos en Crema,Axion, 450 g,4 270 $,Éxito
2347,Jabón Lavaplatos en Crema con Aloe Vera,Axion, 850 g,6 816 $,Éxito
2348,Jabón Lavaplatos en Crema con Aloe Vera y Vitamina E,Axion, 450 g,4 270 $,Éxito
2349,Jabón Lavaplatos en Crema con Avena y Vitamina E,Axion, 850 g,5 800 $,Éxito
2350,Jabón Lavaplatos en Crema con Aroma a Rosas,Lava,1 000 g,8 058 $,Éxito
2351,Jabón Lavaplatos en Crema con Aroma a Limón,Ekono, 500 g,1 830 $,Éxito
2352,Jabón Lavaplatos en Crema con Aroma a Limón,Axion, 235 g,2 430 $,Éxito
2353,Jabón Lavaplatos en Crema con Aroma a Limón,Axion, 900 g,8 190 $,Éxito
2354,Jabón Lavaplatos en Crema con Aloe Vera y Aroma a Rosas,Loza Crem, 800 g,9 260 $,Éxito
2355,Jabón Lavaplatos en Crema con Aloe Vera y Avena,Loza Crem, 450 g,4 891 $,Éxito
2356,Jabón Lavaplatos en Crema con Aloe Vera y Avena,Loza Crem, 800 g,9 260 $,Éxito
2357,Jabón Lavaplatos en Crema con Aroma a Rosas,Lava, 500 g,3 970 $,Éxito
2358,Jabón Lavaplatos en Crema,Lava, 500 g,3 970 $,Éxito
2359,Jabón Lavaplatos en Crema con Aloe Vera,Loza Crem,1 600 g,11 030 $,Éxito
2360,Jabón Lavaplatos en Crema con Glicerina,Éxito,1 500 g,8 550 $,Éxito
2361,Jabón Lavaplatos en Crema con Glicerina,Éxito,1 500 g,6 350 $,Éxito
2362,Jabón Lavaplatos en Crema con Aloe Vera y Vitamina E,Axion, 900 g,9 650 $,Éxito
2363,Jabón Lavaplatos en Crema con Avena y Vitamina E,Axion, 900 g,6 300 $,Éxito
2364,Arena para Gato,Tidy Cats, 4.54 kg,21 750 $,Éxito
2365,Arena para Gato,Cats Pride, 4.5 kg,28 250 $,Éxito
2366,Arena para Gato,Cats Pride, 4.5 kg,32 900 $,Éxito
2367,Miel de Abejas,Rica-Miel, 325 g,10 590 $,Éxito
2368,Miel de Abejas,Casino, 250 g,16 500 $,Éxito
2369,Miel de Abejas,Del Nectar, 325 g,12 900 $,Éxito
2370,Miel de Abejas,Del Nectar, 500 g,20 300 $,Éxito
2371,Miel de Abejas,del Éxito, 500 g,17 800 $,Éxito
2372,Miel de Abejas,Éxito, 325 g,10 860 $,Éxito
2373,Jabón Líquido para Bebé,Johnson's Baby, 400 ml,16 250 $,Éxito
2374,Jabón Líquido para Bebé,Johnson's Baby, 200 ml,10 510 $,Éxito
2375,Jabón Líquido para Bebé,Eucerin, 250 ml,46 400 $,Éxito
2376,Gel de Baño Antibacterial,Aromasense, 37 ml,7 550 $,Éxito
2377,Gel de Baño Antibacterial,Fres Kids, 100 ml,9 520 $,Éxito
2378,Gel de Baño Antibacterial,Fres Kids, 50 ml,5 360 $,Éxito
2379,Gel de Baño Antibacterial,Fres Kids, 50 ml,5 360 $,Éxito
2380,Gel de Baño,Lactovit, 500 ml,14 290 $,Éxito
2381,Gel de Baño,Lactovit, 600 ml,18 000 $,Éxito
2382,Gel de Baño,Nivea, 250 ml,11 330 $,Éxito
2383,Gel de Baño,Nivea, 250 ml,11 330 $,Éxito
2384,Jabón Líquido,Lux, 250 ml,6 390 $,Éxito
2385,Jabón Líquido Antibacterial,Capibell, 800 ml,9 780 $,Éxito
2386,Jabón Líquido de Avena,Aromasense, 350 ml,9 050 $,Éxito
2387,Jabón Líquido para Manos,Aromasense, 350 ml,9 050 $,Éxito
2388,Jabón Líquido para Manos,Aromasense, 400 ml,5 240 $,Éxito
2389,Jabón Líquido de Avena,Ekono,1 000 ml,9 300 $,Éxito
2390,Jabón Líquido para Manos,Fres Kids, 220 ml,8 280 $,Éxito
2391,Jabón Líquido para Manos,Fres Kids, 220 ml,9 160 $,Éxito
2392,Jabón Líquido Antibacterial para Manos,Ekono,1 000 ml,5 890 $,Éxito
2393,Jabón Líquido de Avena Antibacterial,Protex, 500 ml,8 540 $,Éxito
2394,Jabón Líquido de Avena,Capibell, 400 ml,5 740 $,Éxito
2395,Jabón Líquido de Avena,Capibell, 800 ml,7 350 $,Éxito
2396,Jabón Líquido de Avena,Capibell, 500 ml,8 330 $,Éxito
